FID,Type,Source,Verified,Name,Prefix,House_Numb,Unit_Type,Unit_Numbe,Street_Nam,Street_Typ,City,State,Zip,Stop_ID,X_Coord,Y_Coord,Lat,Lon
109,Residential Addresses,MAF Fixes, , ,SW,308, , ,1st,Ave,Portland,OR,97204.000000000000000, ,7645464.510999999900000,683205.475100000040000,45.5201198673581,-122.671983564149
110,Residential Addresses,MAF Fixes, , ,NE,7640, , ,Airport,Way,Portland,OR,97238.000000000000000, ,7668693.519000000300000,705897.000000000000000,45.5840109734835,-122.583668359814
111,Residential Addresses,MAF Fixes, , ,SW,2211, , ,1st,Ave,Portland,OR,97201.000000000000000, ,7643482.000000000000000,678683.000000000000000,45.5075742501867,-122.679239669001
112,Residential Addresses,MAF Fixes, , ,SW,2221, , ,1st,Ave,Portland,OR,97201.000000000000000, ,7643505.000000000000000,678402.000000000000000,45.506805536895,-122.679120426173
113,Residential Addresses,MAF Fixes, , ,SW,521, , ,11th,Ave,Portland,OR,97205.000000000000000, ,7642658.000000000000000,683680.750000000000000,45.5212154847451,-122.682979315533
114,Residential Addresses,MAF Fixes, , ,N,1450, , ,Prescott,St,Portland,OR,97217.000000000000000, ,7643308.529000000100000,696037.061800000020000,45.555140503331,-122.681743866958
115,Residential Addresses,MAF Fixes, , ,SW,6932, , ,Macadam,Ave,Portland,OR,97219.000000000000000, ,7645181.461000000100000,666420.429099999950000,45.4740793842441,-122.671327676143
116,Residential Addresses,MAF Fixes, , ,SE,1743, , ,Mulberry,Ave,Portland,OR,97214.000000000000000, ,7650136.500000000000000,679463.750000000000000,45.5102041563293,-122.653373137773
117,Residential Addresses,MAF Fixes, , ,NE,10010, , ,Halsey,St,Portland,OR,97220.000000000000000, ,7674184.000000000000000,686783.939999999940000,45.5319939960213,-122.560326386067
118,Residential Addresses,MAF Fixes, , ,SE,3400, , ,43rd,Ave,Portland,OR,97206.000000000000000, ,7659173.462000000300000,674864.363900000000000,45.4982489498766,-122.617663315918
119,Residential Addresses,MAF Fixes, , ,SE,10201, , ,Main,St,Portland,OR,97216.000000000000000, ,7674738.262000000100000,680513.481000000030000,45.5148404917721,-122.557541065291
120,Residential Addresses,MAF Fixes, , ,SE,3172, , ,136th,Ave,Portland,OR,97236.000000000000000, ,7683571.000000000000000,674738.099999999980000,45.4996171277678,-122.522530008096
121,Residential Addresses,MAF Fixes, , ,SE,3130, , ,136th,Ave,Portland,OR,97236.000000000000000, ,7683571.000000000000000,674738.099999999980000,45.4996171277678,-122.522530008096
122,Residential Addresses,MAF Fixes, , ,SE,11935, , ,Liebe,St,Portland,OR,97266.000000000000000, ,7678886.500000000000000,670233.560000000060000,45.4869434183516,-122.540350611766
123,Residential Addresses,MAF Fixes, , ,SW,1100, , ,6th,Ave,Portland,OR,97204.000000000000000, ,7643445.500000000000000,681726.800000000050000,45.5159166913239,-122.679702275485
124,Residential Addresses,MAF Fixes, , ,SW,319, , ,Washington,St,Portland,OR,97204.000000000000000, ,7644681.120000000100000,683138.940900000050000,45.5198796553553,-122.675031882487
125,Residential Addresses,MAF Fixes, , ,SE,720, , ,Grand,Ave,Portland,OR,97214.000000000000000, ,7648368.500000000000000,682187.699999999950000,45.5175429758602,-122.660551473769
